title,text,label
"Scientists Discover New Planet","NASA researchers have found a planet that could support life.","REAL"
"Breaking: Aliens Land in DC","Eyewitnesses claim to see UFOs landing on the White House lawn.","FAKE"
"Economy Shows Strong Growth","The latest GDP figures indicate a robust recovery for the national economy.","REAL"
"Magic Pill Cures All Diseases","A new startup claims to have invented a pill that cures everything from cancer to the common cold.","FAKE"
"Local Library to Expand","The city council has approved a budget for a new wing at the central library.","REAL"
"Celebrity Secretly a Robot","Leaked documents suggest a famous actor is actually an advanced android.","FAKE"
"New Study on Coffee Benefits","Drinking three cups of coffee a day may reduce the risk of heart disease.","REAL"
"Moon is Made of Cheese","New evidence suggests the moon's core is actually aged cheddar.","FAKE"
"Tech Giant Announces New Phone","The latest smartphone features a revolutionary battery that lasts for a week.","REAL"
"Time Travel Possible by 2025","Scientists at a secret lab say they have successfully sent a clock back in time.","FAKE"
